E_number,name,class
E 100,kurkumin,barvila
E 101,riboflavini,barvila
E 102,tartrazin,barvila
E 104,kinolinsko rumeno,barvila
E 110,"sončno rumeno FCF, oranžno rumeno S",barvila
E 120,"karminska kislina, karmin",barvila
E 122,"azorubin, karmoizin",barvila
E 123,amarant,barvila
E 124,"rdeče 4R, košenil rdeče A",barvila
E 127,eritrozin,barvila
E 129,alura rdeče AC,barvila
E 131,patentno modro V,barvila
E 132,"indigotin, indigo karmin",barvila
E 133,briljantno modro FCF,barvila
E 140,klorofili in klorofilini,barvila
E 141,bakrovi kompleksi klorofilov in klorofilinov,barvila
E 142,zeleno S,barvila
E 150a,karamel (1),barvila
E 150b,alkalno sulfitni karamel,barvila
E 150c,amonijev karamel,barvila
E 150d,amonijev sulfitni karamel,barvila
E 151,briljantno črno PN,barvila
E 153,rastlinsko oglje,barvila
E 155,rjavo HT,barvila
E 160a,karoteni,barvila
E 160b(i),anato biksin,barvila
E 160b(ii),anato norbiksin,barvila
E 160c,"izvleček paprike, kapsantin, kapsorubin",barvila
E 160d,likopen,barvila
E 160e,beta-apo-8'-karotenal (C30),barvila
E 161b,lutein,barvila
E 161g,kantaksantin (*1),barvila
E 162,"betalain, betanin",barvila
E 163,antocianini,barvila
E 170,kalcijev karbonat,barvila
E 171,titanov dioksid,barvila
E 172,železovi oksidi in hidroksidi,barvila
E 173,aluminij,barvila
E 174,srebro,barvila
E 175,zlato,barvila
E 180,litolrubin BK,barvila
E 200,sorbinska kislina,konzervans
E 202,kalijev sorbat,konzervans
E 210,benzojska kislina (1),konzervans
E 211,natrijev benzoat (1),konzervans
E 212,kalijev benzoat (1),konzervans
E 213,kalcijev benzoat (1),konzervans
E 214,etil parahidroksi benzoat,konzervans
E 215,natrijev etil parahidroksi benzoat,konzervans
E 218,metil parahidroksi benzoat,konzervans
E 219,natrijev metil parahidroksi benzoat,konzervans
E 220,žveplov dioksid,konzervans
E 221,natrijev sulfit,konzervans
E 222,natrijev hidrogensulfit,konzervans
E 223,natrijev metabisulfit,konzervans
